Start Date,End Date,Brand,Conversion path,Sales,Purchases,New-to-brand product sales,New-to-brand purchases,Sponsored Brands display frequency,Sponsored Display display frequency,Amazon DSP display frequency,Sponsored Brands video frequency,Amazon DSP online video frequency,Sponsored TV Streaming TV frequency,Amazon DSP Streaming TV frequency,Amazon DSP audio frequency,Sponsored Products frequency,Sponsored Display frequency,Sponsored Display online video frequency,Currency
2026-07-03,2026-07-31,Primal Queen,Sponsored Products > Online Video (Sponsored Brands) > [Purchase],3959.0,65.0,2738.0,46.0,0.0,0.0,0.0,1.1692307692307693,0.0,0.0,0.0,0.0,2.0307692307692307,0.0,0.0,USD
2026-07-14,2026-07-14,Primal Queen,Online Video (Sponsored Brands) > Display (Sponsored Brands) > Sponsored Products > [Purchase],58.0,1.0,58.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,USD
2026-07-14,2026-07-16,Primal Queen,Online Video (Sponsored Brands) > Sponsored Products > Display (Sponsored Brands) > [Purchase],116.0,2.0,116.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,USD
2026-07-03,2026-07-31,Primal Queen,Sponsored Products >  (Sponsored Display) > [Purchase],6935.0,117.0,6238.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.076923076923077,3.5982905982905984,0.0,USD
2026-07-03,2026-07-03,Primal Queen,Display (Amazon DSP) > Sponsored Products > Display (Sponsored Brands) > [Purchase],58.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,USD
2026-07-23,2026-07-23,Primal Queen,Online Video (Sponsored Brands) > Sponsored Products > Display (Sponsored Brands) >  (Sponsored Display) > Display (Amazon DSP) > [Purchase],58.0,1.0,58.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,USD
2026-07-05,2026-07-22,Primal Queen,Sponsored Products >  (Sponsored Display) > Online Video (Sponsored Brands) > [Purchase],349.0,6.0,349.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.5,5.666666666666667,0.0,USD
2026-07-06,2026-07-26,Primal Queen,Sponsored Products > Display (Sponsored Brands) > Online Video (Sponsored Brands) > [Purchase],116.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,USD
2026-07-05,2026-07-31,Primal Queen,Display (Amazon DSP) >  (Sponsored Display) > [Purchase],4315.97,71.0,580.0,10.0,0.0,0.0,20.338028169014084,0.0,0.0,0.0,0.0,0.0,0.0,4.661971830985915,0.0,USD
2026-07-05,2026-07-10,Primal Queen,Display (Sponsored Brands) > Display (Amazon DSP) > [Purchase],116.0,2.0,58.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USD
2026-07-24,2026-07-24,Primal Queen,Display (Sponsored Brands) >  (Sponsored Display) > [Purchase],58.0,1.0,58.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,USD
2026-07-03,2026-07-31,Primal Queen,Display (Amazon DSP) > Sponsored Products > [Purchase],27927.33,437.0,1924.99,33.0,0.0,0.0,26.352402745995423,0.0,0.0,0.0,0.0,0.0,1.5881006864988558,0.0,0.0,USD
2026-07-15,2026-07-15,Primal Queen,(Sponsored Display) > Display (Amazon DSP) > Online Video (Sponsored Brands) > [Purchase],58.0,1.0,58.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,USD
2026-07-28,2026-07-28,Primal Queen,Display (Amazon DSP) > Online Video (Sponsored Brands) > Sponsored Products > [Purchase],58.0,1.0,58.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,USD
